ingredient,side_effects
collagen-type-ii,"Collagen type II is  POSSIBLY SAFE  when taken by mouth in doses up to 2.5 mg daily for up to 24 weeks. Some people might have stomach problems after taking collagen type II. Headache, difficulty sleeping, dizziness, and liver problems have also occurred. But these events are uncommon.   
 "
collard,Collard is  LIKELY SAFE  when consumed in food amounts. It isn't known if collard is safe or what the possible side effects might be when taken in medicinal amounts.  
colloidal-minerals,"Colloidal minerals is  POSSIBLY UNSAFE  for use. The content of these products varies, depending on the source of the clay. Some products might contain metals such as aluminum, arsenic, lead, barium, nickel, and titanium in potentially harmful amounts. There is also concern that some products might contain radioactive metals.  "
colloidal-silver,"Colloidal silver is  LIKELY UNSAFE  when taken by mouth, applied to the skin, or injected intravenously (by IV). The silver in colloidal silver products gets deposited into organs such as the skin, liver, spleen, kidney, muscle, and brain. This can lead to an irreversible bluish looking skin that first appears in the gums. It can also stimulate melanin production in skin, and areas exposed to the sun will become increasingly discolored.   
 "
colocynth,"Colocynth is  UNSAFE  for use. It was banned by the Food and Drug Administration (FDA) in 1991.    Taking even very small amounts of colocynth can cause severe irritation of the  stomach  and intestine lining, bloody  diarrhea ,  kidney  damage, bloody urine, and inability to urinate. Other side effects include convulsions, paralysis, and death. There have been reports of death following ingestion of just 1-1/2 teaspoons of the powder.    In case of poisoning, a dilute tannic acid solution should be taken, followed by large quantities of drinks that contain eggs (albuminous drinks).  "
colombo,There isn't enough information available to know if colombo is safe. Large amounts of colombo may cause  vomiting  and  stomach pain . An overdose of colombo can lead to paralysis and unconsciousness.  
coltsfoot,"Coltsfoot is considered  UNSAFE . It contains chemicals called hepatotoxic pyrrolizidine alkaloids (PAs) that can damage the  liver  or cause  cancer .  Dietary supplement  products sold in the US are not required to state the amount of PAs they may contain. So, if the package doesn’t say the product is certified hepatotoxic PA- free, you can assume that there are probably hepatotoxic PAs in it. Avoid using coltsfoot products that are not certified and labeled as hepatotoxic PA-free.  "
columbine,There isn't enough information to know if columbine is safe for use as a medicine or what the possible side effects might be.  
comfrey,"Comfrey is  POSSIBLY SAFE  for most people when applied to unbroken skin in small amounts for less than 10 days. It’s important to remember that the poisonous chemicals in comfrey can pass through the skin. Absorption of these chemicals increases if the skin is broken or if large amounts are applied.    Comfrey is  LIKELY UNSAFE  for anyone when taken by mouth. It contains chemicals (pyrrolizidine alkaloids, PAs) that can cause liver damage, lung damage, and cancer. The FDA has recommended removal of oral comfrey products from the market.      "
common-stonecrop,There isn't enough information to know if common stonecrop is safe for use as a medicine. Large amounts can cause  vomiting  and  diarrhea .  
condurango,Condurango seems safe for most people when used appropriately.  
conjugated-linoleic-acid,"Conjugated linoleic acid is  LIKELY SAFE  when taken by mouth in amounts found in foods and is  POSSIBLY SAFE  when taken by mouth in medicinal amounts (larger amounts than those found in food). It might cause side effects such as stomach upset, diarrhea, nausea, fatigue, headache, backache, and increased risk of bleeding. In rare cases, conjugated linoleic acid has caused liver toxicity.   
 "
contrayerva,"Contrayerva might be  UNSAFE  for use. Taking it by  mouth  can cause  heart  problems. Touching the plant can make the  skin  extra sensitive to sunlight and, as a result, more likely to become sunburned.  "
coolwort,There isn't enough information to know if coolwort is safe or what the side effects might be.  
copaiba-balsam,"Copaiba balsam is safe for most people in normal food amounts. However, it seems  UNSAFE  for use as a medicine. Copaiba balsam can cause side effects such as  stomach  pains,  vomiting , diarrhea,  rash , tremor, groin pain, and sleeplessness ( insomnia ). When used on the  skin , it can cause redness,  itching , and a  rash  that might leave brown spots after healing.  "
copper,"Copper is  LIKELY SAFE  when taken by mouth in amounts no greater than 10 mg daily.    Copper is  POSSIBLY UNSAFE  when taken by mouth in large amounts. Adults should consume no more than 10 mg of copper per day.  Kidney failure  and death can occur with as little as 1 gram of copper sulfate. Symptoms of copper overdose include nausea, vomiting, bloody diarrhea, fever,  stomach pain ,  low blood pressure , anemia, and heart problems.     "
coral,Coral is  LIKELY SAFE  for most people when used in surgery as a bone substitute. There is not enough information to know if coral taken by  mouth  is safe. Some oral coral products contain lead.     
coral-root,There isn't enough information to know if coral root is safe for use as a medicine or what the possible side effects might be.  
cordyceps,"Cordyceps is  POSSIBLY SAFE  for most people when taken appropriately by mouth, short-term.   
 "
coriander,"Coriander is  LIKELY SAFE  in food amounts and  POSSIBLY SAFE  for most people when taken by mouth in appropriate medicinal amounts.    Coriander can cause some side effects, including allergic reactions and increased sensitivity to the sun. Increased sensitivity to the sun might put you at greater risk for sunburns and skin cancer. Avoid sunlight. Wear sunblock and protective clothing outside, especially if you are light-skinned.    There is one report of severe diarrhea, stomach pain, darkened skin, depression, lapse of menstruation, and dehydration in a woman who took 200 mL of a 10% coriander extract for 7 days.    When coriander comes in contact with the skin, it can cause skin irritation and inflammation.     "
coriolus-mushroom,"Coriolus mushroom is  LIKELY SAFE  for most people when taken by mouth appropriately. For most healthy adults, coriolus mushroom does not cause any side effects. But in some people who have received chemotherapy and a chemical called PSK (which is extracted from coriolus mushroom), nausea, vomiting, low white blood cell counts, and liver problems have been reported. But it is unclear if these side effects were due to the chemotherapy or PSK.   

Coriolus mushroom is  POSSIBLY SAFE  when applied directly into the vagina, for up to 12 days.

 "
corkwood-tree,"Corkwood tree is  UNSAFE  when taken by  mouth . It can cause death.    Corkwood tree can cause many side effects including  dry mouth , decreased perspiration, dilation of pupils, blurred  vision , red,  dry skin , increased  body temperature , increased  heart  rate, difficulty urinating,  hallucinations , spasms, acute  psychosis , convulsions, and  coma . Overdose poisoning symptoms include sleepiness followed by restlessness, hallucinations, delirium, and manic episodes followed by exhaustion and  sleep .  "
corn-cockle,"Corn cockle is  UNSAFE  to take by  mouth . Several chemicals found in it are considered poisonous. Poisoning symptoms include  diarrhea , drooling,  dizziness ,  vomiting , paralysis, breathing difficulty, and  coma .    There isn’t enough information to know whether it is safe to apply corn cockle to the skin.  "
